,ticker
0,ECL
1,MMM
2,TSN
3,UNH
4,CNC
5,AME
6,MTB
7,EQR
8,EL
9,BAX
10,LEN
11,FISV
12,HLT
13,FB
14,FIS
15,NOC
16,ANSS
17,DTE
18,PM
19,BKNG
20,CSCO
21,ANTM
22,DE
23,DD
24,HCA
25,PSX
26,CPRT
27,GS
28,IRM
29,DXCM
30,GIS
31,AWK
32,GE
33,PCAR
34,WEC
35,AXP
36,COF
37,CSX
38,SIVB
39,KHC
40,PLD
41,MCHP
42,LOW
43,SRE
44,KMI
45,CDW
46,IP
47,ORLY
48,UNP
49,TROW
50,JPM
51,GPN
52,SBAC
53,BDX
54,EBAY
55,SNPS
56,TT
57,VRTX
58,VMC
59,MNST
60,MPC
61,AMT
62,AVGO
63,HSY
64,EW
65,WMB
66,KO
67,FRC
68,SPGI
69,BLK
70,ADP
71,NSC
72,DG
73,PEP
74,MCK
75,WY
76,HOLX
77,MA
78,DHR
79,XOM
80,BA
81,WELL
82,CI
83,ROK
84,UPS
85,WLTW
86,STT
87,PYPL
88,MCD
89,DUK
90,TGT
91,HUM
92,AMGN
93,MDLZ
94,O
95,ADBE
96,PPL
97,TMO
98,PAYX
99,LLY
100,KMB
101,CCI
102,KSU
103,AEP
104,RE
105,STZ
106,RMD
107,C
108,KEYS
109,TFX
110,AMZN
111,T
112,NKE
113,GLW
114,ROST
115,FDX
116,ADM
117,PEG
118,BBY
119,FITB
120,VRSN
121,INTU
122,URI
123,AIG
124,SPG
125,ALB
126,KLAC
127,TDG
128,V
129,ES
130,CHTR
131,MMC
132,FTNT
133,KR
134,BMY
135,EXC
136,GM
137,ATVI
138,JNJ
139,NEE
140,COP
141,MSFT
142,J
143,WFC
144,WMT
145,TRV
146,AFL
147,FAST
148,VRSK
149,LRCX
150,D
151,INTC
152,QRVO
153,MU
154,XLNX
155,XYL
156,CRM
157,ADSK
158,CVS
159,ETSY
160,DOV
161,ACN
162,BIIB
163,DFS
164,CERN
165,MSCI
166,PSA
167,ICE
168,CMG
169,NTRS
170,EQIX
171,TMUS
172,APTV
173,VLO
174,MCO
175,AVB
176,SLB
177,IDXX
178,DLR
179,PG
180,MTD
181,ISRG
182,COST
183,TER
184,LH
185,SWKS
186,SYY
187,MRK
188,SBUX
189,F
190,ALL
191,ADI
192,PPG
193,CAT
194,ED
195,HON
196,TFC
197,LMT
198,NOW
199,CME
200,BK
201,VZ
202,MAR
203,TSLA
204,ZTS
205,ABBV
206,AEE
207,TWTR
208,AJG
209,WBA
210,YUM
211,JCI
212,AMAT
213,ALXN
214,IBM
215,MS
216,ARE
217,EXPE
218,NFLX
219,SCHW
220,EA
221,GOOGL
222,CMI
223,XEL
224,EOG
225,CTAS
226,MSI
227,RSG
228,ILMN
229,DIS
230,USB
231,CDNS
232,EMR
233,DHI
234,EFX
235,CVX
236,MET
237,CHD
238,GILD
239,NVDA
240,ETN
241,MDT
242,PH
243,IQV
244,FLT
245,PFE
246,TXN
247,NEM
248,CLX
249,A
250,AAPL
251,TJX
252,ZBH
253,EIX
254,QCOM
255,ROP
256,ETR
257,ORCL
258,LUV
259,LVS
260,TEL
261,BAC
262,AON
263,HPQ
264,BLL
265,ITW
266,SWK
267,CBRE
268,PRU
269,CB
270,FCX
271,ABT
272,LYB
273,SYK
274,SO
275,REGN
276,WM
277,BSX
278,DLTR
279,VIAC
280,PXD
281,MO
282,SYF
283,APH
284,MLM
285,CMCSA
286,CTSH
287,MKC
288,FTV
289,APD
290,SHW
291,GD
292,RTX
293,INFO
294,PGR
295,AZO
296,VFC
297,CL
298,DAL
299,PNC
300,AMP
301,HD
302,MXIM
